'HubAveraging.pair_energy_loss' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.pair_preserves_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.sweep_preserves_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.sweep_energy_loss' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.equal_leaf_sweep_loss' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.bipartition_witness_loss' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.reversed_bipartition_witness_loss' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.common_witness_expectation' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.expectation_lower_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.policy_witness_ratio' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.r_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.weighted_r_lt_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.coefficient_bounds' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.gamma_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.spectral_factorization' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.bipartition_spectral_value' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.threshold_identity' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.spectral_threshold' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.spectral_energy_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.beta_from_physical_sweep' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.unit_hub_column_norm' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.coefficient_trace_identity' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.degree_three_values' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.threshold_le_degree' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.all_opposite_orders_loss' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.all_selectors_expected_loss' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.block_energy_floor' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.sum_preserving_block_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.two_sign_variance' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.supported_energy_loss' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.concrete_cut_loss_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.closed_neighborhood_cut_constant' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.cut_constant_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.cut_residual_ratio' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.local_solve_fraction' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.loss_polynomial_from_moments' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.concave_quadratic_endpoint' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.independent_budget_exponential' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.exponential_chord' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.benchmark_500_exact' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.separation_ratio_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.hub_progress_500_upper' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.benchmark_500_real' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.benchmark_500_combined' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.disagreement_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.disagreement_of_total_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.pairUpdate_off' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.pairUpdate_energy' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.pairUpdate_total' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.networkSweep_total' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.networkSweep_energy' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.actionOrder_nodup' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.actionOrder_mem' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.actionOrder_length' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.regular_neighbor_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.regular_bipartition_total_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.sign_energy' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.graph_witness_residual' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.centered_energy_expansion' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.disagreement_expansion' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.disagreement_loss' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.sweepLoss_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.action_disagreement_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.policyRatio_le_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.ratio_le_worstResidual' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.policy_witness_exact' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.signState_values' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.signState_opposite' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.bipartite_policy_lower_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.bipartite_minimax_lower_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.finset_centered_expansion' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.localS_expansion' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.localH_expansion' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.lapQuadratic_expansion' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.lap_energy_expansion' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.graph_S_moment' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.graph_H_moment' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.graph_loss_polynomial' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.localFormula_recurrence_coefficients' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.localFormula_average' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.randomSweepLoss_formula' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.perm_tail_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.permutationLoss_step' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.uniform_permutation_loss' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.pair_disagreement_loss' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.directed_difference_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.edgeAverage_disagreement' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.edgeAverage_mono' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.edgeAverage_scale' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.independent_edge_contraction' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.sign_relative' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.sign_block_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.closedBlock_card' depends on axioms: [propext, Quot.sound]
'HubAveraging.closedBlock_same_card' depends on axioms: [propext, Quot.sound]
'HubAveraging.sign_closedBlock_sum_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.sign_closedBlock_energy' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.graph_cut_energy_cap' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.supported_total' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.graph_cut_residual' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.energy_dot' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.orthogonal_dot' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.hermitian_polynomial_expansion' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.hermitian_threshold_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.laplacian_matrix' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.lapQuadratic_upper' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.lap_eigenvalue_upper' depends on axioms: [propext, Classical.choice, Quot.sound]
'HubAveraging.centered_zero_eigen_coordinates' depends on axioms: [propext, Classical.choice, Quot.sound]
